"Time","Stoltenberg","innvandring","strømpris","NATO"
"2024-10-27",6,2,23,16
"2024-11-03",14,3,22,33
"2024-11-10",12,3,21,19
"2024-11-17",14,2,30,20
"2024-11-24",10,2,21,17
"2024-12-01",14,2,29,15
"2024-12-08",10,2,95,15
"2024-12-15",7,1,48,13
"2024-12-22",48,1,29,11
"2024-12-29",9,1,37,11
"2025-01-05",11,2,33,21
"2025-01-12",9,1,29,16
"2025-01-19",13,3,46,17
"2025-01-26",10,2,37,16
"2025-02-02",100,2,30,22
"2025-02-09",20,2,33,23
"2025-02-16",15,2,31,42
"2025-02-23",10,2,24,31
"2025-03-02",11,2,22,43
"2025-03-09",12,2,25,22
"2025-03-16",14,2,20,18
"2025-03-23",16,2,18,24
"2025-03-30",15,2,19,21
"2025-04-06",15,1,19,15
"2025-04-13",12,0,20,11
"2025-04-20",17,2,27,15
"2025-04-27",12,2,21,14
"2025-05-04",9,2,23,19
"2025-05-11",14,1,21,15
"2025-05-18",12,2,16,17
"2025-05-25",17,1,19,12
"2025-06-01",11,2,17,17
"2025-06-08",9,1,16,15
"2025-06-15",11,0,17,15
"2025-06-22",9,1,17,33
"2025-06-29",8,1,17,11
"2025-07-06",6,1,16,8
"2025-07-13",7,0,17,8
"2025-07-20",8,0,19,7
"2025-07-27",12,1,15,8
"2025-08-03",14,2,20,11
"2025-08-10",22,2,22,11
"2025-08-17",22,4,19,17
"2025-08-24",23,6,20,14
"2025-08-31",25,6,21,19
"2025-09-07",39,5,24,47